name,hoursOfOp,address,zip,phone,website
Albany Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3401 W. Foster Avenue,60625,(773) 539-5450,https://www.chipublib.org/locations/3/
Altgeld,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",13281 S. Corliss Avenue,60827,(312) 747-3270,https://www.chipublib.org/locations/4/
Archer Heights,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5055 S. Archer Avenue,60632,(312) 747-9241,https://www.chipublib.org/locations/5/
Austin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5615 W. Race Avenue,60644,(312) 746-5038,https://www.chipublib.org/locations/6/
Austin-Irving,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",6100 W. Irving Park Road,60634,(312) 744-6222,https://www.chipublib.org/locations/7/
Avalon,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",8148 S. Stony Island Avenue ,60617,(312) 747-5234,https://www.chipublib.org/locations/8/
Back of the Yards,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",2111 W. 47th Street,60609,(312) 747-9595,https://www.chipublib.org/locations/9/
Beverly,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1962 W. 95th Street,60643,(312) 747-9673,https://www.chipublib.org/locations/10/
Bezazian,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1226 W. Ainslie Street,60640,(312) 744-0019,https://www.chipublib.org/locations/11/
Blackstone,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",4904 S. Lake Park Avenue,60615,(312) 747-0511,https://www.chipublib.org/locations/12/
